,label_cli,ProdutoId,Unnamed: 0,DescontoIR__c,DescricaoCarencia__c,DescricaoEmissor__c,DescricaoProduto__c,DiasVencimento__c,FiltroValorMinimo__c,RiscoAtivo__c,TaxaEmissao__c,TaxaPreEmissao__c,TipoIndexador__c,Indice_Basileia,Indice_Imobilizacao,label
117,6,a0W3u00000CWFVTEA5,71,15.0,No venc.,BANCO GMAC S.A.,CDB POS,721.0,1000.0,1.0,105.0,0.0,CDI,0.2441,0.0638,4
118,0,a0W3u00000CWGX6EAP,73,22.5,No venc.,BANCO BS2 S.A.,CDB POS 1,90.0,1000.0,2.0,108.0,0.0,CDI,0.1132,0.1739,4
119,1,a0W3u00000CWGX6EAP,73,22.5,No venc.,BANCO BS2 S.A.,CDB POS 1,90.0,1000.0,2.0,108.0,0.0,CDI,0.1132,0.1739,4
120,2,a0W3u00000CWGX6EAP,73,22.5,No venc.,BANCO BS2 S.A.,CDB POS 1,90.0,1000.0,2.0,108.0,0.0,CDI,0.1132,0.1739,4
121,3,a0W3u00000CWGX6EAP,73,22.5,No venc.,BANCO BS2 S.A.,CDB POS 1,90.0,1000.0,2.0,108.0,0.0,CDI,0.1132,0.1739,4
122,4,a0W3u00000CWGX6EAP,73,22.5,No venc.,BANCO BS2 S.A.,CDB POS 1,90.0,1000.0,2.0,108.0,0.0,CDI,0.1132,0.1739,4
123,6,a0W3u00000CWGX6EAP,73,22.5,No venc.,BANCO BS2 S.A.,CDB POS 1,90.0,1000.0,2.0,108.0,0.0,CDI,0.1132,0.1739,4
124,0,a0W3u00000CWHqDEAX,81,17.5,No venc.,BANCO AGIBANK S.A.,CDB POS,361.0,1000.0,2.0,114.0,0.0,CDI,0.1333,0.051,4
125,0,a0W3u00000CWJ7yEAH,85,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1081.0,1000.0,5.0,100.0,2.5,,0.0322,0.2625,2
126,0,a0W3u00000CWJ91EAH,87,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1802.0,1000.0,5.0,100.0,4.0,,0.0322,0.2625,3
127,2,a0W3u00000CWJ91EAH,87,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1802.0,1000.0,5.0,100.0,4.0,,0.0322,0.2625,3
128,5,a0W3u00000CWJ91EAH,87,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1802.0,1000.0,5.0,100.0,4.0,,0.0322,0.2625,3
129,6,a0W3u00000CWJ91EAH,87,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1802.0,1000.0,5.0,100.0,4.0,,0.0322,0.2625,3
130,0,a0W3u00000CWJAxEAP,88,22.5,No venc.,BANCO RODOBENS S.A.,LCI POS,90.0,10000.0,1.0,98.0,0.0,CDI,0.1587,0.3428,1
131,1,a0W3u00000CWJAxEAP,88,22.5,No venc.,BANCO RODOBENS S.A.,LCI POS,90.0,10000.0,1.0,98.0,0.0,CDI,0.1587,0.3428,1
132,2,a0W3u00000CWJAxEAP,88,22.5,No venc.,BANCO RODOBENS S.A.,LCI POS,90.0,10000.0,1.0,98.0,0.0,CDI,0.1587,0.3428,1
133,3,a0W3u00000CWJAxEAP,88,22.5,No venc.,BANCO RODOBENS S.A.,LCI POS,90.0,10000.0,1.0,98.0,0.0,CDI,0.1587,0.3428,1
134,4,a0W3u00000CWJAxEAP,88,22.5,No venc.,BANCO RODOBENS S.A.,LCI POS,90.0,10000.0,1.0,98.0,0.0,CDI,0.1587,0.3428,1
135,5,a0W3u00000CWJAxEAP,88,22.5,No venc.,BANCO RODOBENS S.A.,LCI POS,90.0,10000.0,1.0,98.0,0.0,CDI,0.1587,0.3428,1
