,label_cli,ProdutoId,Unnamed: 0,DescricaoTaxaPerformance__c,DescricaoTributacao__c,FamiliaCarteira__c,FiltroValorMinimo__c,LucroMesAnterior__c,PatrimonioLiquidoAtual__c,RentabilidadeAno__c,RentabilidadeFundoUltimos36Meses__c,RentabilidadeMes__c,RiscoAtivo__c,TipoCarteira__c,label
89,2,a0W3u00000AdGGqEAN,42,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,90011608.0,10679498852.0,282804536.0,9775060498.0,191073048.0,5.0,FIC de Fundo de Ações,0
90,3,a0W3u00000AdGGqEAN,42,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,90011608.0,10679498852.0,282804536.0,9775060498.0,191073048.0,5.0,FIC de Fundo de Ações,0
91,4,a0W3u00000AdGGqEAN,42,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,90011608.0,10679498852.0,282804536.0,9775060498.0,191073048.0,5.0,FIC de Fundo de Ações,0
92,5,a0W3u00000AdGGqEAN,42,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,90011608.0,10679498852.0,282804536.0,9775060498.0,191073048.0,5.0,FIC de Fundo de Ações,0
93,6,a0W3u00000AdGGqEAN,42,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,90011608.0,10679498852.0,282804536.0,9775060498.0,191073048.0,5.0,FIC de Fundo de Ações,0
94,0,a0W3u00000AdGTbEAN,43,Não,Come Cotas,Renda Fixa,50000.0,52222803.0,18233551788.0,62373027.0,3624016731.0,10097492.0,4.0,FIC de Fundo de Renda Fixa,1
95,2,a0W3u00000AdGTbEAN,43,Não,Come Cotas,Renda Fixa,50000.0,52222803.0,18233551788.0,62373027.0,3624016731.0,10097492.0,4.0,FIC de Fundo de Renda Fixa,1
96,4,a0W3u00000AdGTbEAN,43,Não,Come Cotas,Renda Fixa,50000.0,52222803.0,18233551788.0,62373027.0,3624016731.0,10097492.0,4.0,FIC de Fundo de Renda Fixa,1
97,0,a0W3u00000AdGbzEAF,44,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,5000.0,50208478.0,28283913063.0,55153547.0,246217581.0,4920365.0,2.0,Fundo de Renda Fixa,1
98,1,a0W3u00000AdGbzEAF,44,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,5000.0,50208478.0,28283913063.0,55153547.0,246217581.0,4920365.0,2.0,Fundo de Renda Fixa,1
