DescontoIR__c;DescricaoCarencia__c;DescricaoEmissor__c;DescricaoProduto__c;DiasVencimento__c;FiltroValorMinimo__c;RiscoAtivo__c;TaxaEmissao__c;TaxaPreEmissao__c;TipoIndexador__c
20.0;No venc.;BANCO MODAL S.A;CDB POS;181.0;10000.0;2.0;106.0;0.0;CDI
15.0;No venc.;BANCO MODAL S.A;CDB POS;731.0;10000.0;2.0;116.0;0.0;CDI
17.5;No venc.;BANCO MODAL S.A;CDB POS;367.0;10000.0;2.0;111.0;0.0;CDI
22.5;No venc.;BANCO SANTANDER (BRASIL) S.A.;LCA POS;115.0;5000.0;1.0;86.0;0.0;CDI
15.0;Qualquer dia;BANCO AGIBANK S.A.;CDB POS;721.0;1000.0;2.0;97.0;0.0;CDI
22.5;No venc.;BANCO AGIBANK S.A.;CDB POS;146.0;1000.0;2.0;104.0;0.0;CDI
20.0;No venc.;CARUANA S.A.;LC POS;181.0;1000.0;2.0;108.0;0.0;CDI
17.5;No venc.;CARUANA S.A.;LC POS;367.0;1000.0;2.0;114.0;0.0;CDI
17.5;No venc.;CARUANA S.A.;LC POS;549.0;1000.0;2.0;115.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;731.0;1000.0;2.0;116.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;913.0;1000.0;2.0;116.5;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;1095.0;1000.0;2.0;117.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;1460.0;1000.0;2.0;118.5;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC POS;1825.0;1000.0;3.0;119.5;0.0;CDI
20.0;No venc.;PARANA BANCO S.A.;CDB POS;181.0;1000.0;1.0;103.0;0.0;CDI
17.5;No venc.;PARANA BANCO S.A.;CDB POS;361.0;1000.0;1.0;104.5;0.0;CDI
15.0;No venc.;PARANA BANCO S.A.;CDB POS;721.0;1000.0;2.0;106.0;0.0;CDI
15.0;No venc.;PARANA BANCO S.A.;CDB POS;1081.0;1000.0;2.0;107.0;0.0;CDI
15.0;No venc.;PARANA BANCO S.A.;CDB POS;1440.0;1000.0;3.0;109.0;0.0;CDI
15.0;No venc.;PARANA BANCO S.A.;CDB POS;1802.0;1000.0;3.0;110.0;0.0;CDI
15.0;No venc.;CARUANA S.A.;LC PRE;1095.0;1000.0;3.0;0.0;6.8;Pré fixado
